date,station,latitude,longitude,aqi,pm2_5,pm10,no2,so2,o3,temperature_C,relative_humidity_%,notes
2024-01-04,Hetauda,27.4163,85.0306,133,48.4,101.0,7.3,3.1,37.2,23.8,41.1,
2024-01-04,Birgunj,27.0,84.8667,160,72.7,136.1,17.7,4.8,25.5,21.3,40.3,
2024-01-04,Jumla,29.2741,82.1855,85,28.0,77.0,19.7,1.0,25.8,24.1,48.4,
2024-01-04,Illam,26.8901,87.9204,72,22.0,39.9,13.6,1.0,49.3,20.3,50.4,
2024-01-05,Kathmandu,27.7172,85.324,169,89.8,171.7,13.7,3.5,34.0,21.3,64.5,
2024-01-05,Lalitpur,27.6648,85.3188,163,79.4,135.0,32.1,5.1,40.0,24.6,81.0,
2024-01-05,Bhaktapur,27.6714,85.427,225,174.4,349.8,15.3,2.4,33.7,26.5,46.0,High pollution event
2024-01-05,Pokhara,28.2096,83.9856,131,47.5,56.9,2.0,2.8,46.0,20.7,48.9,
2024-01-05,Biratnagar,26.4525,87.2718,144,52.8,114.2,28.5,4.9,47.6,23.9,48.7,
2024-01-05,Nepalgunj,28.0582,81.6176,125,45.2,56.7,10.0,6.1,49.8,17.9,56.1,
2024-01-05,Bharatpur,27.6838,84.4328,118,42.5,98.4,18.0,3.4,49.3,23.8,46.1,
2024-01-05,Dhangadhi,28.707,80.5912,125,45.1,97.0,2.8,4.8,39.4,18.5,58.1,
2024-01-05,Janakpur,26.706,85.9246,138,50.5,99.9,25.4,3.1,40.1,25.7,52.0,
2024-01-05,Butwal,27.7,83.45,122,44.1,86.7,2.4,5.1,30.9,21.7,45.5,
2024-01-05,Dharan,26.8125,87.2835,132,48.0,104.6,12.5,3.1,40.5,25.6,57.0,
2024-01-05,Hetauda,27.4163,85.0306,110,39.2,68.1,7.5,2.1,47.4,19.1,45.4,
2024-01-05,Birgunj,27.0,84.8667,151,55.6,86.1,25.5,4.6,35.6,19.4,40.9,
2024-01-05,Jumla,29.2741,82.1855,70,21.2,38.7,8.2,1.0,43.4,16.1,39.1,
2024-01-05,Illam,26.8901,87.9204,169,90.5,216.2,2.0,3.7,47.9,24.2,33.7,High pollution event
2024-01-06,Kathmandu,27.7172,85.324,162,77.5,106.8,21.5,6.5,33.2,20.9,47.3,
2024-01-06,Lalitpur,27.6648,85.3188,160,72.4,123.1,18.6,5.4,32.6,27.9,47.1,
2024-01-06,Bhaktapur,27.6714,85.427,162,76.5,159.8,14.0,3.5,31.2,28.0,49.4,
2024-01-06,Pokhara,28.2096,83.9856,149,55.0,138.0,3.0,4.4,17.9,18.2,56.6,
2024-01-06,Biratnagar,26.4525,87.2718,150,55.3,152.7,26.2,8.1,28.2,24.2,59.7,
2024-01-06,Nepalgunj,28.0582,81.6176,142,52.3,132.6,5.1,3.4,32.9,28.5,66.1,
2024-01-06,Bharatpur,27.6838,84.4328,87,29.3,55.9,14.8,2.0,40.7,29.4,59.4,
2024-01-06,Dhangadhi,28.707,80.5912,135,49.5,96.0,15.2,5.2,20.1,23.3,43.8,
2024-01-06,Janakpur,26.706,85.9246,126,45.5,66.4,16.4,1.7,30.1,22.0,43.0,
2024-01-06,Butwal,27.7,83.45,121,43.5,76.2,17.2,4.9,47.7,20.7,57.7,
2024-01-06,Dharan,26.8125,87.2835,116,41.5,68.6,9.5,3.1,34.3,17.5,46.9,
2024-01-06,Hetauda,27.4163,85.0306,129,46.8,115.9,2.0,1.0,37.1,19.2,62.3,
2024-01-06,Birgunj,27.0,84.8667,133,48.3,71.1,17.7,6.6,45.4,19.1,34.1,
2024-01-06,Jumla,29.2741,82.1855,74,22.9,54.4,6.0,2.6,39.5,21.0,34.2,
2024-01-06,Illam,26.8901,87.9204,81,26.5,45.7,18.8,1.6,13.7,20.6,13.8,
2024-01-07,Kathmandu,27.7172,85.324,161,75.1,141.7,13.9,6.2,61.1,23.9,50.2,
2024-01-07,Lalitpur,27.6648,85.3188,157,66.9,123.5,27.8,4.2,37.9,26.3,33.2,
2024-01-07,Bhaktapur,27.6714,85.427,156,64.8,161.8,21.5,3.5,38.5,21.1,54.5,
2024-01-07,Pokhara,28.2096,83.9856,86,28.8,61.9,8.6,1.0,37.6,21.2,77.1,
2024-01-07,Biratnagar,26.4525,87.2718,138,50.4,104.6,23.7,3.6,28.5,21.6,52.3,
2024-01-07,Nepalgunj,28.0582,81.6176,128,46.5,73.7,2.8,3.6,47.1,17.9,24.1,
2024-01-07,Bharatpur,27.6838,84.4328,107,38.0,77.7,6.9,1.3,54.5,23.7,43.1,
2024-01-07,Dhangadhi,28.707,80.5912,120,43.2,100.9,2.6,4.0,35.4,22.6,40.2,
2024-01-07,Janakpur,26.706,85.9246,153,59.0,93.7,8.9,1.0,40.0,23.3,44.3,
2024-01-07,Butwal,27.7,83.45,121,43.8,120.6,11.8,2.7,40.4,20.9,51.1,
2024-01-07,Dharan,26.8125,87.2835,120,43.4,86.2,10.0,4.2,23.4,22.8,37.1,
2024-01-07,Hetauda,27.4163,85.0306,128,46.5,68.8,8.1,3.1,31.9,18.8,42.8,
2024-01-07,Birgunj,27.0,84.8667,110,39.3,64.6,22.6,3.6,44.8,25.2,48.9,
2024-01-07,Jumla,29.2741,82.1855,63,17.7,35.2,11.2,5.7,31.2,20.0,48.7,
2024-01-07,Illam,26.8901,87.9204,122,44.1,73.5,4.2,1.0,29.4,20.6,51.7,
2024-01-08,Kathmandu,27.7172,85.324,156,65.3,139.5,21.1,5.6,38.6,24.5,59.9,
2024-01-08,Lalitpur,27.6648,85.3188,163,79.4,107.6,23.2,6.3,35.9,24.0,46.8,
2024-01-08,Bhaktapur,27.6714,85.427,167,86.2,199.8,29.0,3.2,48.4,22.2,49.9,
2024-01-08,Pokhara,28.2096,83.9856,136,49.9,87.4,9.1,2.8,47.5,20.0,63.0,
2024-01-08,Biratnagar,26.4525,87.2718,126,45.7,61.4,30.8,5.9,33.7,25.0,50.1,
2024-01-08,Nepalgunj,28.0582,81.6176,139,51.1,124.3,14.7,2.1,36.8,22.6,59.7,
2024-01-08,Bharatpur,27.6838,84.4328,113,40.4,71.5,12.5,2.7,16.3,15.6,45.6,
2024-01-08,Dhangadhi,28.707,80.5912,151,55.7,131.1,12.8,4.1,49.1,18.4,34.3,
2024-01-08,Janakpur,26.706,85.9246,144,53.1,124.2,17.0,1.0,38.8,22.1,72.0,
2024-01-08,Butwal,27.7,83.45,115,41.2,63.1,8.1,2.4,29.2,22.1,58.4,
2024-01-08,Dharan,26.8125,87.2835,96,33.6,58.5,11.6,3.9,37.9,16.8,44.9,
2024-01-08,Hetauda,27.4163,85.0306,135,49.2,104.3,12.3,3.6,54.5,14.9,49.2,
2024-01-08,Birgunj,27.0,84.8667,126,45.8,106.9,20.6,4.7,31.8,26.6,47.4,
2024-01-08,Jumla,29.2741,82.1855,67,19.5,26.2,18.0,4.3,33.2,19.5,61.6,
2024-01-08,Illam,26.8901,87.9204,104,36.8,59.4,11.0,1.0,34.1,24.7,43.3,
2024-01-09,Kathmandu,27.7172,85.324,169,89.5,160.5,21.5,6.3,36.6,23.7,73.5,
2024-01-09,Lalitpur,27.6648,85.3188,161,75.3,118.4,21.1,5.7,41.1,26.4,51.1,
2024-01-09,Bhaktapur,27.6714,85.427,160,72.3,147.9,23.5,6.6,40.1,22.0,38.7,
2024-01-09,Pokhara,28.2096,83.9856,112,40.0,91.8,4.6,3.7,38.6,24.2,58.2,
2024-01-09,Biratnagar,26.4525,87.2718,135,49.2,87.1,18.2,3.9,39.8,26.9,47.7,
2024-01-09,Nepalgunj,28.0582,81.6176,94,32.6,85.5,7.8,3.3,30.7,22.8,52.0,
2024-01-09,Bharatpur,27.6838,84.4328,111,39.5,54.6,14.2,6.3,28.8,16.2,43.2,
2024-01-09,Dhangadhi,28.707,80.5912,149,55.1,135.9,10.9,2.8,47.2,20.0,59.3,
2024-01-09,Janakpur,26.706,85.9246,149,54.8,140.0,12.2,5.2,29.3,25.5,35.9,
2024-01-09,Butwal,27.7,83.45,115,41.3,91.3,11.0,4.0,44.6,21.7,63.4,
2024-01-09,Dharan,26.8125,87.2835,96,33.7,46.3,2.2,1.0,37.1,24.1,54.2,
2024-01-09,Hetauda,27.4163,85.0306,151,55.9,89.9,9.5,5.8,35.7,26.0,62.4,
2024-01-09,Birgunj,27.0,84.8667,154,60.4,127.4,23.7,5.9,45.3,26.6,50.4,
2024-01-09,Jumla,29.2741,82.1855,72,22.2,40.0,16.0,1.0,66.3,20.5,38.7,
2024-01-09,Illam,26.8901,87.9204,136,49.7,95.0,6.8,3.5,30.0,19.5,50.4,
2024-01-10,Kathmandu,27.7172,85.324,166,84.7,190.8,15.4,3.0,42.7,22.0,24.6,
2024-01-10,Lalitpur,27.6648,85.3188,161,74.8,119.7,24.8,4.3,27.2,25.1,43.7,
2024-01-10,Bhaktapur,27.6714,85.427,158,68.1,145.2,22.5,5.1,38.3,21.2,68.7,
2024-01-10,Pokhara,28.2096,83.9856,105,37.2,61.8,6.2,1.5,41.8,18.1,52.8,
2024-01-10,Biratnagar,26.4525,87.2718,124,44.9,98.5,18.7,4.3,44.5,27.2,42.6,
2024-01-10,Nepalgunj,28.0582,81.6176,103,36.3,74.9,6.5,1.4,33.9,22.5,67.2,
2024-01-10,Bharatpur,27.6838,84.4328,118,42.3,73.9,2.5,4.6,46.9,21.4,33.9,
2024-01-10,Dhangadhi,28.707,80.5912,148,54.7,93.8,7.6,4.3,46.3,15.6,54.6,
2024-01-10,Janakpur,26.706,85.9246,151,56.2,88.7,7.8,1.9,41.3,19.9,71.4,
2024-01-10,Butwal,27.7,83.45,132,47.9,93.0,7.7,6.7,39.0,18.6,44.5,
2024-01-10,Dharan,26.8125,87.2835,151,56.0,88.2,12.8,2.7,44.3,16.2,32.0,
2024-01-10,Hetauda,27.4163,85.0306,163,78.9,133.5,5.6,3.9,47.9,24.5,37.8,High pollution event
2024-01-10,Birgunj,27.0,84.8667,148,54.5,142.5,17.9,5.3,34.5,24.5,37.1,
2024-01-10,Jumla,29.2741,82.1855,66,19.1,32.6,17.1,2.6,39.6,16.9,47.8,
2024-01-10,Illam,26.8901,87.9204,95,33.1,81.8,11.8,3.5,25.4,20.5,67.2,
2024-01-11,Kathmandu,27.7172,85.324,169,91.1,189.6,16.3,2.2,34.6,25.5,51.3,
2024-01-11,Lalitpur,27.6648,85.3188,165,81.8,217.5,28.8,4.8,28.1,21.2,48.1,
2024-01-11,Bhaktapur,27.6714,85.427,161,73.9,134.3,15.6,5.2,41.4,22.7,56.4,
2024-01-11,Pokhara,28.2096,83.9856,99,34.8,65.0,10.8,5.8,49.4,23.5,24.1,
2024-01-11,Biratnagar,26.4525,87.2718,117,42.0,67.9,18.2,5.9,46.6,20.3,40.2,
2024-01-11,Nepalgunj,28.0582,81.6176,91,31.0,61.5,13.1,6.7,41.3,25.6,53.1,
2024-01-11,Bharatpur,27.6838,84.4328,119,42.9,79.3,12.2,3.6,32.5,20.8,74.8,
2024-01-11,Dhangadhi,28.707,80.5912,127,45.9,111.2,11.7,2.3,43.8,17.3,56.9,
2024-01-11,Janakpur,26.706,85.9246,150,55.2,133.3,9.1,3.6,45.8,23.6,47.3,
2024-01-11,Butwal,27.7,83.45,98,34.6,75.3,6.1,3.1,30.8,18.5,42.1,
2024-01-11,Dharan,26.8125,87.2835,107,37.8,78.9,11.4,3.6,33.9,19.5,40.4,
2024-01-11,Hetauda,27.4163,85.0306,122,43.9,94.9,5.7,2.1,31.6,24.3,54.5,
2024-01-11,Birgunj,27.0,84.8667,147,54.3,126.7,25.3,3.7,45.5,26.1,54.8,
2024-01-11,Jumla,29.2741,82.1855,77,24.5,38.4,8.4,4.4,31.9,22.0,29.0,
2024-01-11,Illam,26.8901,87.9204,97,33.9,51.1,11.3,2.2,35.3,28.7,47.7,
2024-01-12,Kathmandu,27.7172,85.324,165,82.9,156.8,22.5,6.8,40.5,26.3,55.3,
2024-01-12,Lalitpur,27.6648,85.3188,163,78.9,186.7,25.6,2.6,44.5,27.0,58.9,
2024-01-12,Bhaktapur,27.6714,85.427,162,76.0,176.3,15.4,6.1,42.8,25.3,44.6,
2024-01-12,Pokhara,28.2096,83.9856,117,42.0,95.5,16.3,3.4,54.5,19.2,57.3,
2024-01-12,Biratnagar,26.4525,87.2718,129,46.8,92.5,34.5,4.4,49.6,23.3,41.6,
2024-01-12,Nepalgunj,28.0582,81.6176,91,31.3,55.8,6.8,2.1,41.2,27.2,36.9,
2024-01-12,Bharatpur,27.6838,84.4328,132,48.2,122.7,8.3,7.3,37.0,22.3,46.1,
2024-01-12,Dhangadhi,28.707,80.5912,96,33.7,67.8,13.0,2.7,38.5,23.0,45.5,
2024-01-12,Janakpur,26.706,85.9246,148,54.4,85.1,7.8,5.2,45.9,23.7,51.3,
2024-01-12,Butwal,27.7,83.45,123,44.6,61.5,21.0,1.7,48.2,26.7,46.1,
2024-01-12,Dharan,26.8125,87.2835,132,47.9,121.6,2.0,4.0,51.0,19.9,60.2,
2024-01-12,Hetauda,27.4163,85.0306,130,47.2,94.5,5.2,3.4,25.0,21.9,55.8,
2024-01-12,Birgunj,27.0,84.8667,158,69.3,143.8,20.5,2.0,31.6,19.7,54.4,
2024-01-12,Jumla,29.2741,82.1855,69,20.9,33.8,11.9,3.5,35.2,19.9,33.9,
2024-01-12,Illam,26.8901,87.9204,102,36.1,79.5,8.7,5.6,32.6,21.1,58.9,
2024-01-13,Kathmandu,27.7172,85.324,165,82.0,133.7,27.5,6.2,42.7,26.1,38.4,
2024-01-13,Lalitpur,27.6648,85.3188,161,74.1,125.6,23.7,1.6,25.9,27.5,58.3,
2024-01-13,Bhaktapur,27.6714,85.427,155,63.4,104.9,19.1,3.3,48.5,29.3,52.1,
2024-01-13,Pokhara,28.2096,83.9856,131,47.7,69.9,3.1,3.9,44.4,21.7,29.7,
2024-01-13,Biratnagar,26.4525,87.2718,145,53.5,72.7,17.4,5.5,36.0,19.3,52.0,
2024-01-13,Nepalgunj,28.0582,81.6176,132,47.9,115.7,2.0,6.5,51.5,22.1,48.5,
2024-01-13,Bharatpur,27.6838,84.4328,65,18.6,47.4,7.6,2.2,26.9,24.6,65.0,
2024-01-13,Dhangadhi,28.707,80.5912,149,54.8,120.2,5.8,3.8,35.4,27.1,63.8,
2024-01-13,Janakpur,26.706,85.9246,124,44.8,74.9,6.9,4.0,32.9,23.2,56.3,
2024-01-13,Butwal,27.7,83.45,135,49.4,78.1,17.9,2.0,36.7,18.7,47.2,
2024-01-13,Dharan,26.8125,87.2835,110,39.3,69.2,15.4,3.7,26.5,22.8,45.4,
2024-01-13,Hetauda,27.4163,85.0306,152,57.7,98.9,7.2,4.7,16.8,21.6,60.2,
2024-01-13,Birgunj,27.0,84.8667,153,59.6,88.8,22.9,5.1,3.8,20.8,39.6,
2024-01-13,Jumla,29.2741,82.1855,91,30.9,54.3,2.3,4.2,34.5,27.7,42.4,
2024-01-13,Illam,26.8901,87.9204,84,27.6,55.8,12.9,2.5,36.6,30.8,55.9,
2024-01-14,Kathmandu,27.7172,85.324,164,80.9,123.9,28.2,2.3,36.4,15.9,43.6,
2024-01-14,Lalitpur,27.6648,85.3188,162,76.0,184.6,11.7,3.8,51.3,22.8,48.4,
2024-01-14,Bhaktapur,27.6714,85.427,157,66.5,102.5,27.7,5.4,47.2,20.2,64.7,
2024-01-14,Pokhara,28.2096,83.9856,103,36.4,81.6,17.7,2.8,18.6,22.8,52.8,
2024-01-14,Biratnagar,26.4525,87.2718,153,58.8,114.3,33.6,1.9,42.9,25.6,44.9,
2024-01-14,Nepalgunj,28.0582,81.6176,106,37.7,69.6,16.0,1.0,47.2,17.0,47.9,
2024-01-14,Bharatpur,27.6838,84.4328,111,39.4,95.9,15.7,2.6,33.9,21.8,61.8,
2024-01-14,Dhangadhi,28.707,80.5912,106,37.4,67.5,3.0,1.0,30.7,20.5,67.6,
2024-01-14,Janakpur,26.706,85.9246,126,45.8,66.8,2.0,3.4,23.2,21.4,40.9,
2024-01-14,Butwal,27.7,83.45,118,42.5,79.1,11.2,4.2,50.8,21.0,32.1,
2024-01-14,Dharan,26.8125,87.2835,113,40.5,77.2,13.7,1.7,37.8,22.1,52.0,
2024-01-14,Hetauda,27.4163,85.0306,124,44.8,62.8,10.2,1.1,39.7,21.2,40.9,
2024-01-14,Birgunj,27.0,84.8667,119,42.7,106.2,25.3,6.1,41.4,19.1,46.7,
2024-01-14,Jumla,29.2741,82.1855,58,15.4,44.1,9.9,5.3,28.7,22.1,53.2,
2024-01-14,Illam,26.8901,87.9204,87,29.4,42.3,18.9,1.1,14.3,27.2,40.5,
2024-01-15,Kathmandu,27.7172,85.324,171,93.5,163.7,15.2,5.2,43.3,22.2,45.4,
2024-01-15,Lalitpur,27.6648,85.3188,162,76.3,179.9,21.1,7.1,32.2,23.7,42.4,
2024-01-15,Bhaktapur,27.6714,85.427,161,75.2,156.4,25.3,3.4,43.3,28.3,61.9,
2024-01-15,Pokhara,28.2096,83.9856,106,37.4,84.5,19.1,1.6,39.8,21.4,47.7,
2024-01-15,Biratnagar,26.4525,87.2718,152,57.0,112.5,11.0,5.3,42.0,28.7,48.4,
2024-01-15,Nepalgunj,28.0582,81.6176,95,33.0,43.2,13.2,2.8,40.5,21.5,72.4,
2024-01-15,Bharatpur,27.6838,84.4328,145,53.6,126.7,10.1,1.5,52.6,26.0,32.5,
2024-01-15,Dhangadhi,28.707,80.5912,152,56.8,127.9,6.4,1.2,46.5,23.8,39.5,
2024-01-15,Janakpur,26.706,85.9246,120,43.2,60.2,6.9,4.0,41.4,20.6,30.1,
2024-01-15,Butwal,27.7,83.45,93,32.0,72.8,2.0,3.7,55.3,18.6,56.6,
2024-01-15,Dharan,26.8125,87.2835,115,41.2,76.5,11.1,4.0,30.4,23.1,59.7,
2024-01-15,Hetauda,27.4163,85.0306,152,56.6,114.8,12.5,1.2,45.6,21.7,62.1,
2024-01-15,Birgunj,27.0,84.8667,160,72.2,140.4,28.4,8.1,39.8,22.7,50.1,
2024-01-15,Jumla,29.2741,82.1855,71,21.4,50.1,14.2,3.3,38.2,22.0,65.7,
2024-01-15,Illam,26.8901,87.9204,114,40.8,73.9,11.7,1.9,42.3,21.4,59.3,
2024-01-16,Kathmandu,27.7172,85.324,167,86.2,228.2,8.6,4.6,58.0,17.2,60.1,
2024-01-16,Lalitpur,27.6648,85.3188,162,77.1,197.1,21.0,7.1,49.0,25.3,36.0,
2024-01-16,Bhaktapur,27.6714,85.427,166,84.1,133.7,28.6,4.4,43.6,20.1,44.3,
2024-01-16,Pokhara,28.2096,83.9856,130,47.3,125.9,15.1,3.0,39.5,23.0,40.7,
2024-01-16,Biratnagar,26.4525,87.2718,153,59.6,95.6,17.7,1.0,36.6,25.3,59.9,
2024-01-16,Nepalgunj,28.0582,81.6176,145,53.3,120.7,9.6,2.8,34.0,20.0,53.4,
2024-01-16,Bharatpur,27.6838,84.4328,129,46.7,71.4,16.6,3.9,51.6,18.1,62.4,
2024-01-16,Dhangadhi,28.707,80.5912,131,47.6,96.0,19.6,4.5,29.1,23.6,54.1,
2024-01-16,Janakpur,26.706,85.9246,153,58.6,79.2,14.0,2.6,39.7,21.3,50.6,
2024-01-16,Butwal,27.7,83.45,97,33.9,58.0,21.1,4.5,27.9,21.6,30.7,
2024-01-16,Dharan,26.8125,87.2835,110,39.3,77.8,15.2,1.0,34.0,24.1,54.7,
2024-01-16,Hetauda,27.4163,85.0306,101,35.6,66.4,8.8,3.6,37.0,24.7,40.8,
2024-01-16,Birgunj,27.0,84.8667,154,60.6,135.2,18.8,6.0,45.3,26.5,59.0,
2024-01-16,Jumla,29.2741,82.1855,87,29.3,41.8,11.2,4.5,42.2,19.4,39.5,
2024-01-16,Illam,26.8901,87.9204,86,28.8,39.3,14.8,1.0,42.8,24.2,57.7,
2024-01-17,Kathmandu,27.7172,85.324,153,60.2,94.4,19.9,5.3,37.3,22.4,65.4,
2024-01-17,Lalitpur,27.6648,85.3188,162,76.4,140.2,29.6,5.1,37.7,25.1,51.4,
2024-01-17,Bhaktapur,27.6714,85.427,161,75.0,166.0,34.7,5.9,35.9,22.0,46.0,
2024-01-17,Pokhara,28.2096,83.9856,84,27.6,64.6,15.8,4.9,60.9,22.6,47.8,
2024-01-17,Biratnagar,26.4525,87.2718,149,55.1,85.6,23.1,4.5,31.6,22.6,53.2,
2024-01-17,Nepalgunj,28.0582,81.6176,102,36.0,68.4,14.0,3.0,41.6,17.9,41.7,
2024-01-17,Bharatpur,27.6838,84.4328,145,53.2,107.4,5.7,1.5,51.8,26.8,42.9,
2024-01-17,Dhangadhi,28.707,80.5912,127,46.0,85.8,13.2,2.8,25.9,25.2,35.3,
2024-01-17,Janakpur,26.706,85.9246,132,47.9,88.7,14.9,4.5,44.3,23.3,53.6,
2024-01-17,Butwal,27.7,83.45,119,42.7,101.2,13.1,1.8,35.2,23.6,73.1,
2024-01-17,Dharan,26.8125,87.2835,120,43.1,79.2,9.4,4.1,42.6,19.1,55.7,
2024-01-17,Hetauda,27.4163,85.0306,140,51.3,123.4,9.0,6.6,53.8,21.1,33.6,
2024-01-17,Birgunj,27.0,84.8667,154,60.9,139.9,13.3,6.4,39.2,26.1,68.3,
2024-01-17,Jumla,29.2741,82.1855,78,25.1,56.8,8.7,1.9,43.1,18.9,60.0,
2024-01-17,Illam,26.8901,87.9204,81,26.2,44.6,16.5,3.0,51.9,22.5,54.9,
2024-01-18,Kathmandu,27.7172,85.324,162,77.2,175.6,31.5,2.7,37.0,27.2,52.8,
2024-01-18,Lalitpur,27.6648,85.3188,153,59.1,101.2,20.5,1.0,37.0,27.0,48.0,
